seqnum,sex,province,age,DEP_TOTAL,Cluster
1,1,0,168,1043.83,0
2,0,18,37,13159.08,0
3,0,10,57,31476.22,0
4,0,10,73,90.38,0
5,0,10,50,14185.05,0
6,0,10,72,12999.6,0
7,1,10,51,1275.61,0
8,1,10,55,39.93,0
9,0,10,44,88407.31,3
10,1,10,56,313.99,0
11,1,6,60,224.65,0
12,0,10,64,3124.21,0
13,0,10,63,36032.94,0
14,0,10,57,236.36,0
15,0,10,56,204.61,0
16,0,10,61,1680.43,0
17,1,10,63,2769.72,0
18,1,10,75,857.48,0
19,0,10,59,20926.27,0
20,0,10,61,124.04,0
21,0,10,57,5107.07,0
22,1,10,73,138.4,0
23,1,10,51,21755.11,0
24,0,10,47,3227.37,0
25,0,10,70,8956.06,0
26,1,10,62,7950.45,0
27,1,10,62,4662.72,0
28,1,2,63,2719.64,0
29,1,10,56,82.31,0
30,1,10,71,44.74,0
31,0,10,60,1031133.04,4
32,1,10,54,110.39,0
33,1,10,63,0.0,0
34,1,10,63,3969.09,0
35,1,10,50,20566.53,0
36,0,10,50,10003.11,0
37,1,10,75,55.45,0
38,0,10,54,92.32,0
39,1,10,57,136.36,0
40,1,10,55,0.0,0
41,0,10,51,36849.76,0
42,0,10,49,2014.81,0
43,0,10,64,0.0,0
44,0,10,46,3511.54,0
45,1,10,53,20659.57,0
46,1,10,59,10037.68,0
47,1,10,50,2101.09,0
48,1,10,48,7.15,0
49,0,10,56,83.83,0
50,1,10,58,717.97,0
51,1,10,52,33642.89,0
52,0,10,63,9.81,0
53,1,10,86,183314.11,3
54,1,13,66,873.22,0
55,0,10,53,10875.78,0
56,0,10,49,101905.51,3
57,1,10,76,36041.77,0
58,0,10,77,1501.55,0
59,1,10,60,22462.27,0
60,1,1,84,536.9,0
61,1,10,68,22995.92,0
62,0,10,65,0.0,0
63,0,10,62,5556.4,0
64,0,10,78,38481.24,0
65,0,10,51,0.0,0
66,1,10,48,12210.04,0
67,1,1,86,0.0,0
68,0,10,48,5223.67,0
69,0,10,57,3465.38,0
70,0,10,48,3680.46,0
71,0,10,77,170207.42,3
72,0,10,65,11618.63,0
73,0,10,61,153720.71,3
74,0,10,63,40315.21,0
75,0,10,58,1229.0,0
76,1,10,53,11069.45,0
77,0,10,51,5568.88,0
78,1,10,67,5573.38,0
79,0,10,72,1076.21,0
80,1,10,70,22062.53,0
81,1,10,55,44841.76,0
82,1,10,49,6410.9,0
83,0,10,64,6675.7,0
84,1,10,68,10161.15,0
85,1,1,86,717.65,0
86,0,10,56,1545.76,0
87,0,10,73,104.79,0
88,1,10,49,201.48,0
89,1,10,63,286.62,0
90,0,10,79,686.75,0
91,0,10,74,24.46,0
92,0,10,69,7.72,0
93,0,10,78,11520.23,0
94,0,10,59,24766.95,0
95,0,10,74,70.08,0
96,0,10,49,382402.61,2
97,0,10,71,5161.24,0
98,1,10,50,0.0,0
99,0,10,78,503.22,0
100,1,10,84,2273.51,0
101,1,10,55,712.22,0
102,0,10,41,39898.38,0
103,1,10,61,3019.92,0
104,1,10,77,147.99,0
105,0,10,40,668.68,0
106,1,10,49,65.68,0
107,1,10,73,182.0,0
108,0,10,57,35698.07,0
109,0,2,44,111.4,0
110,0,10,60,57920.74,0
111,0,10,78,3571.72,0
112,0,10,56,5640.16,0
